,Heat,Magic,Rockets,Raptors,Wizards,Celtics,Bulls,Cavaliers,Hawks,Nets,Pacers,Knicks,Kings,Pistons,Spurs,Grizzlies,Warriors,Timberwolves,Nuggets,Thunder,76ers,Mavericks,Bobcats,Bucks,Clippers,Suns,Hornets,Trail Blazers,Jazz,Lakers,Rookies,Sophomores,East,West,Partizan,Real Madrid,Olympiacos,Maccabi Elite,Dallas,Armani Jeans Milano,Maccabi Haifa,Regal FC,CSKA,Caja Laboral,Team Shaq,Team Chuck,Fenerbahce Ulker,Alba Berlin,Montepaschi Siena,EA7 Emporio Armani Milano,FC Barcelona Regal,Shaq,Chuck,Pelicans,Basket,Hill,Webber,Maccabi Electra,Flamengo,World,USA,Fenerbahce Sports Club,Olimpia Milano,Paschoalotto/Bauru,Canada,FC Barcelona Lassa,San Lorenzo,TBD,Long-Lions,Sharks,United,Bullets,LeBron,Stephen,Ducks,Wildcats,Breakers,36ers,Away,Home,Giannis,Basketball Club of Brazil,Stephen A,Wilbon,Durant
0,48.96,69.03,61.17,42.86,30.0,68.63,51.58,74.77,56.0,25.84,42.7,40.66,28.41,36.46,62.37,35.96,36.78,30.43,63.81,44.32,45.36,63.0,43.18,39.08,34.07,56.99,48.45,62.24,57.45,76.32,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,61.22,70.48,47.19,43.82,30.0,64.04,56.25,55.56,56.73,23.08,44.94,42.22,22.99,32.97,66.34,50.55,36.26,24.44,61.05,62.89,36.67,66.32,49.47,53.61,28.57,56.73,46.24,54.26,68.32,65.22,100.0,0.0,100.0,50.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,100.0,33.33,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,69.33,60.66,53.57,21.82,26.79,60.61,75.34,23.64,50.77,29.09,43.55,46.67,33.9,38.18,62.9,58.82,46.43,20.37,59.68,66.67,55.0,64.1,44.64,43.86,46.3,47.37,55.0,61.67,34.55,62.12,100.0,0.0,50.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,68.03,45.71,54.55,38.0,27.55,54.62,66.99,29.7,59.22,40.4,60.36,56.86,37.37,37.25,74.78,61.9,47.0,46.88,54.21,70.09,53.57,49.04,14.85,48.48,64.6,46.53,30.0,43.88,51.43,51.82,-1.0,-1.0,50.0,50.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,78.26,22.22,58.16,48.86,46.07,45.83,52.43,34.83,46.94,53.12,65.42,49.5,35.96,40.0,69.72,57.94,53.4,38.71,62.37,69.31,35.23,56.67,35.16,31.58,60.2,43.68,38.46,52.17,42.39,48.96,-1.0,-1.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,50.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,100.0,56.76,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,54.46,31.91,67.74,68.0,59.62,31.82,64.95,51.11,52.63,58.0,50.45,38.71,37.36,32.18,65.79,67.35,69.15,39.77,40.22,56.36,17.78,61.62,53.7,30.77,64.08,55.91,31.71,63.37,35.23,30.0,-1.0,-1.0,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.57,-1.0,100.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,51.14,42.53,56.36,53.19,48.98,55.21,56.0,66.36,64.81,37.89,55.68,35.63,37.5,48.91,71.58,60.19,81.25,27.17,36.67,64.77,20.43,50.54,-1.0,43.16,63.11,41.57,53.41,44.79,50.0,21.98,-1.0,-1.0,0.0,100.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.16,-1.0,-1.0,-1.0,-1.0,0.0,100.0,0.0,50.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,48.6,36.26,59.78,67.29,50.0,58.33,45.65,71.56,54.08,25.0,51.58,42.05,42.53,45.74,78.57,52.69,80.0,36.36,42.05,63.21,18.82,37.89,-1.0,44.71,61.7,27.91,56.57,53.12,56.18,28.26,-1.0,-1.0,0.0,100.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.78,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,50.0,-1.0,-1.0,-1.0,100.0,0.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,58.89,31.87,66.33,60.61,61.9,69.09,44.79,58.72,41.67,31.11,51.61,36.67,33.7,50.57,65.42,40.43,80.19,50.56,53.33,53.19,42.86,43.48,-1.0,51.06,53.76,32.97,35.96,54.35,54.46,31.03,-1.0,-1.0,50.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.83,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,50.0,36.05,71.43,69.31,45.16,57.43,29.55,44.04,31.03,38.64,63.44,26.14,40.45,43.02,50.54,34.88,65.14,46.74,63.53,61.54,68.04,35.71,-1.0,59.57,59.55,20.69,51.72,59.14,61.22,52.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.06,-1.0,-1.0,-1.0,-1.0,0.0,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,100.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,58.82,48.89,67.01,67.92,37.8,66.67,32.14,26.83,30.59,52.94,55.17,21.95,41.18,43.96,52.27,36.47,53.77,40.24,65.66,53.41,63.27,46.43,-1.0,78.43,59.78,30.86,40.23,56.0,62.5,53.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.55,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,100.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,100.0,0.0,0.0,-1.0,-1.0,-1.0
11,53.62,48.21,52.54,71.19,31.37,58.21,35.9,35.0,42.5,47.17,52.83,39.02,50.0,25.0,41.67,50.0,25.0,25.64,52.17,60.71,52.94,50.0,-1.0,59.32,62.3,52.94,35.14,46.43,58.93,72.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.25,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,-1.0
12,56.86,23.47,26.6,41.67,49.02,50.0,52.13,37.11,52.63,67.29,44.9,55.56,40.43,26.32,44.68,54.72,61.86,36.46,58.1,32.26,62.62,57.84,-1.0,63.33,59.13,73.04,46.53,50.98,68.93,51.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
